Year,Acres
1983,"1,323,666"
1984,"1,148,409"
1985,"2,896,147"
1986,"2,719,162"
1987,"2,447,296"
1988,"5,009,290"
1989,"1,827,310"
1990,"4,621,621"
1991,"2,953,578"
1992,"2,069,929"
1993,"1,797,574"
1994,"4,073,579"
1995,"1,840,546"
1996,"6,065,998"
1997,"2,856,959"
1998,"1,329,704"
1999,"5,626,093"
2000,"7,393,493"
2001,"3,570,911"
2002,"7,184,712"
2003,"3,960,842"
2004,"8,097,880"
2005,"8,689,389"
2006,"9,873,745"
2007,"9,328,045"
2008,"5,292,468"
2009,"5,921,786"
2010,"3,422,724"
2011,"8,711,367"
2012,"9,326,238"
2013,"4,319,546"
2014,"3,595,613"
2015,"10,125,149"
2016,"5,509,995"
2017,"10,026,086"
2018,"8,767,492"
2019,"4,664,364"
2020,"10,122,336"
